user_id,order_id,order_date,category,amount,status
36531,141114,2025-06-22 16:00:00,Clothing,5048.14,returned
36738,200584,2026-04-02 20:00:00,Books,100085.64,returned
12748,133499,2026-06-24 22:00:00,Home,55017.65,pending
20291,145053,2025-06-02 18:00:00,Home,49928.84,completed
3380,143977,2025-12-19 18:00:00,Electronics,31371.82,completed
34347,172123,2026-01-01 05:00:00,Electronics,108797.23,completed
24464,113872,2026-02-27 21:00:00,Electronics,101489.22,completed
8629,219144,2026-06-21 14:00:00,Home,131108.99,returned
11319,107927,2025-11-07 08:00:00,Clothing,18713.43,completed
17627,123278,2025-09-02 16:00:00,Clothing,9918.57,completed
8795,177108,2026-07-26 21:00:00,Clothing,78804.67,completed
15011,212976,2025-09-02 19:00:00,Clothing,48640.67,pending
28477,119454,2026-05-12 11:00:00,Clothing,101254.75,pending
30002,135119,2025-07-07 02:00:00,Beauty,93610.36,unknown
28312,151548,2025-12-28 05:00:00,Home,114284.86,completed
28716,173256,2025-09-26 00:00:00,Electronics,147747.29,completed
25917,132760,2025-08-09 18:00:00,Home,139530.44,pending
5872,154667,2025-08-06 22:00:00,Clothing,34992.35,completed
3824,200116,2025-01-31 22:00:00,Home,92083.14,returned
18146,114681,2026-01-25 13:00:00,Electronics,10110.76,pending
5364,151392,2025-09-25 23:00:00,Books,45827.4,pending
7257,132144,2025-10-07 01:00:00,Home,24640.67,returned
8410,180819,2025-06-26 10:00:00,Electronics,100797.76,completed
39130,157808,2026-01-17 21:00:00,Books,47853.8,returned
11022,148865,2025-05-28 07:00:00,Home,42752.82,pending
15431,119429,2026-06-11 22:00:00,Beauty,149407.19,cancelled
39680,115805,2025-10-15 05:00:00,Books,23687.5,completed
22577,205474,2026-01-08 21:00:00,Sports,104364.52,returned
21625,174412,2026-07-23 04:00:00,Electronics,135046.39,completed
21028,208044,2025-11-15 02:00:00,Home,48622.59,returned
14685,173155,2025-12-11 20:00:00,Sports,81698.35,completed
29619,215374,2025-06-04 12:00:00,Beauty,58922.64,completed
32130,177992,2025-07-01 10:00:00,Books,139195.31,pending
18502,115449,2025-08-27 02:00:00,Beauty,133635.51,completed
29444,198004,2025-11-22 09:00:00,Books,66850.38,completed
39679,164959,2025-03-15 10:00:00,Home,963.95,completed
39824,187056,2025-04-23 06:00:00,Electronics,56540.16,pending
11331,138893,2026-03-14 07:00:00,Books,89051.69,pending
